url,header,description,keywords
url,header,description,keywords
url,header,description,keywords
url,header,description,keywords
url,header,description,keywords
url,header,description,keywords
url,header,description,keywords
https://www.cbsnews.com/news/harry-and-meghan-give-up-hrh-no-longer-working-members-british-royal-family-queen-says-today-2020-01-18/,"Harry and Meghan no longer ""working members"" of royal family",Buckingham Palace confirms the couple will give up their official His and Her Royal Highness titles.,"british royal family, royal highness, sussex, title, harry duke of sussex, Queen Elizabeth II, meghan duchess of sussex, meghan markle, family, prince harry"
https://www.cbsnews.com/news/national-archives-apologizes-for-altering-2017-womens-march-photo/,National Archives apologizes for editing Women's March photo,"""We made a mistake,"" the Archives said in a press release.","The National Archives, women&#039;s march, Mario Tama, apology, getty images, washington d.c."
https://www.cbsnews.com/news/impeachment-managers-trump-lawyers-to-debate-trial-rules-on-tuesday/,"Impeachment managers, Trump lawyers to debate rules on Tuesday","The White House defense team and House managers will argue the resolution laying down the rules for the trial, not senators.","united states senate, impeachment managers, impeachment, Donald Trump, mitch mcconnell"
https://www.cbsnews.com/news/impeachment-managers-release-legal-brief-ahead-of-senate-trial-today-2020-01-18/,Impeachment managers say Trump's misconduct is danger to national security,President Trump's impeachment trial is set to begin in the Senate on Tuesday.,"impeachment trial, articles of impeachment, united states senate, impeachment managers, impeachment, Donald Trump"
https://www.cbsnews.com/news/puerto-rican-governor-fires-emergency-director-after-aid-is-found-sitting-in-warehouse-2020-01-18/,Puerto Rico governor fires emergency director,Some of the aid has allegedly been sitting in the warehouse since Hurricane Maria ​struck in 2017.,"david begnaud, FEMA, earthquake, puerto rico, Wanda Vázquez Garced, relief aid"
https://www.cbsnews.com/news/teen-suicide-risk-factors-warning-signs-and-prevention/,"Teen suicide: Risk factors, warning signs and prevention",Resources for teens and parents offering important information and support,"teen suicide risks, suicide text trial, teen suicide, resources, second leading cause of adolescent death, texting suicide, risk factors, warning signs, michelle carter, conrad roy"
https://www.cbsnews.com/news/biden-and-sanders-spar-over-former-vice-presidents-record-on-social-security/,"Biden accuses Sanders campaign of sharing ""doctored"" video",The Sanders campaign shared a short clip of a 2018 speech that made it appear that Biden was agreeing with Paul Ryan about privatizing Social Security.,"paul ryan, social security, joe biden, Iowa Caucuses, bernie sanders, brookings institution"
https://www.cbsnews.com/news/michelle-carter-woman-convicted-in-conrad-roy-suicide-texting-case-to-be-released-from-jail/,Woman convicted in suicide texting case to be released from jail,"Inside the groundbreaking case of a crime of the digital age  — a young woman  convicted of involuntary manslaughter because she used text messages to encourage a friend to take his own life,","suicide texting trial, suicide texts, death of conrad roy, michelle carter, massachusetts, suicide, conrad roy"
https://www.cbsnews.com/news/chacey-poynter-texas-woman-convicted-in-husbands-murder-says-he-wasnt-supposed-to-die/,"Texas woman convicted in husband's murder: ""He wasn't supposed to die""","In her first TV interview, the Texas woman at the center of a case prosecutors say was all about ""sex, lies, money, and murder"" tells ""48 Hours"" what happened the night of the murder.","48 hours, Witness to Murder, Chacey Poynter, Royce City, texas, murder, Robert Poynter, Peter Van Sant"
